id,competency_id,level,description,job_context
cl-0101,comp-01,1,"Separates important information from noise. Pulls together data from multiple sources to form conclusions.",Entry-level and support roles
cl-0102,comp-01,2,"Spots connections and patterns in data. Anticipates downstream effects. Recognizes non-obvious cause-and-effect relationships.",Individual contributors with some experience
cl-0103,comp-01,3,"Handles ambiguous, complex analysis independently. Identifies gaps in available information and makes reasonable assumptions to move forward.",Mid-level professionals and specialists
cl-0104,comp-01,4,"Builds frameworks that guide how others approach analysis. Combines analytical rigor with experiential judgment to reach sound conclusions.",Senior professionals and managers
cl-0105,comp-01,5,"Recognized as a go-to resource for interpreting complex situations. Knows how much pressure to apply to different aspects of analysis based on broader context.",Directors and executives
cl-0201,comp-02,1,"Sets ambitious but achievable personal goals. Delivers quality work on time and meets performance standards consistently.",Entry-level and support roles
cl-0202,comp-02,2,"Questions existing practices to find better approaches. Improves workflows and team outcomes. Works around obstacles with minimal hand-holding.",Individual contributors with some experience
cl-0203,comp-02,3,"Adjusts priorities within their scope when circumstances change. Weighs implications of different courses of action. Initiates improvements that lift team performance.",Mid-level professionals and specialists
cl-0204,comp-02,4,"Sets stretch goals for their area that connect to business opportunities. Assesses risk before acting. Knows when to move and when to wait.",Senior professionals and managers
cl-0205,comp-02,5,"Evaluates group performance against objectives and identifies gaps. Translates opportunities into concrete actions that benefit the organization. Takes calculated risks to drive progress.",Directors and executives
cl-0301,comp-03,1,"Adjusts writing style and content for different readers. Presents factual information concisely and clearly.",Entry-level and support roles
cl-0302,comp-03,2,"Synthesizes information from multiple sources into coherent, logical documents. Uses visuals effectively to communicate data.",Individual contributors with some experience
cl-0303,comp-03,3,"Writes effectively on complex, specialized topics. Captures nuance and qualifiers so readers fully understand the material.",Mid-level professionals and specialists
cl-0304,comp-03,4,"Translates technical content for non-expert audiences. Shapes written communication to influence decisions and direction. Edits others' work effectively.",Senior professionals and managers
cl-0305,comp-03,5,"Handles high-stakes strategic communication for the organization. Reviews sensitive material and understands its broader implications.",Directors and executives
cl-0401,comp-04,1,"Suggests alternative approaches. Recognizes value in perspectives different from their own. Stays positive when facing ambiguity or change.",Entry-level and support roles
cl-0402,comp-04,2,"Anticipates the need to adapt as technology and circumstances evolve. Builds on others' ideas. Embraces new approaches relevant to their work.",Individual contributors with some experience
cl-0403,comp-04,3,"Looks inside and outside the organization for better practices. Stays genuinely open-minded and encourages others to challenge assumptions.",Mid-level professionals and specialists
cl-0404,comp-04,4,"Shapes business practices and policies. Introduces new perspectives that shift strategy. Helps others see the upside of doing things differently.",Senior professionals and managers
cl-0405,comp-04,5,"Responds nimbly to internal and external challenges. Actively seeks input from all levels and responds constructively to ideas regardless of source.",Directors and executives
cl-0501,comp-05,1,"Organizes resources to meet expectations and flags problems early. Plans and coordinates to deliver within deadlines.",Entry-level and support roles
cl-0502,comp-05,2,"Allocates resources based on business priorities. Manages timelines and milestones. Advises on procedures and financial implications.",Individual contributors with some experience
cl-0503,comp-05,3,"Controls resources within their scope. Identifies what's needed to support current work. Manages delivery processes and deadlines.",Mid-level professionals and specialists
cl-0504,comp-05,4,"Develops practical solutions to resource constraints. Allocates budget in line with goals and priorities. Organizes workflows efficiently to deliver on time.",Senior professionals and managers
cl-0505,comp-05,5,"Redefines priorities and reorganizes teams to meet shifting demands. Evaluates financial impact of decisions and develops strategies to address resource gaps.",Directors and executives
cl-0601,comp-06,1,"Proactively collaborates and helps colleagues deliver their work. Shares relevant information and seeks input. Expresses opinions while staying respectful and grounded in facts.",Entry-level and support roles
cl-0602,comp-06,2,"Supports others' independent action. Resolves issues with minimal direction. Builds on teammates' ideas. Takes on extra responsibility to help the team succeed.",Individual contributors with some experience
cl-0603,comp-06,3,"Takes accountability for work delegated to others. Seeks out complementary skills. Creates space for dissenting views. Handles team conflict sensitively and fairly.",Mid-level professionals and specialists
cl-0604,comp-06,4,"Provides clear direction and priorities. Delegates meaningfully and holds people accountable. Facilitates conflict resolution. Recognizes individual and team contributions.",Senior professionals and managers
cl-0605,comp-06,5,"Makes assignments across organizational boundaries to enable collaboration. Delegates authority appropriately. Sets clear expectations for output. Addresses conflict at the organizational level.",Directors and executives
cl-0701,comp-07,1,"Responds to client needs promptly and professionally, regardless of the client's attitude. Shows clients their perspective matters. Consistently meets service standards.",Entry-level and support roles
cl-0702,comp-07,2,"Follows up during and after delivery to ensure needs are met. Keeps clients informed about progress and changes. Prioritizes and addresses client issues appropriately.",Individual contributors with some experience
cl-0703,comp-07,3,"Synthesizes trends into clear pictures for clients. Adds value beyond what's explicitly requested. Anticipates upcoming needs and explores long-term concerns.",Mid-level professionals and specialists
cl-0704,comp-07,4,"Acts as a trusted advisor on complex problems. Gives clients honest feedback on issues. Advocates for client needs while balancing organizational interests.",Senior professionals and managers
cl-0705,comp-07,5,"Leverages personal reputation and expertise to build client confidence. Knows when to push clients on difficult issues. Shapes long-term strategy to meet evolving client needs.",Directors and executives
cl-0801,comp-08,1,"Listens actively and adjusts behavior based on others' concerns. Understands what motivates people's actions. Shows cultural awareness. Expresses frustration constructively.",Entry-level and support roles
cl-0802,comp-08,2,"Accurately reads people's concerns and responds helpfully. Understands underlying motivations. Stays attentive to cultural and background differences. Channels negative feelings productively.",Individual contributors with some experience
cl-0803,comp-08,3,"Stays objective when their positions are challenged. Helps others contribute across cultural barriers. Remains composed when receiving criticism.",Mid-level professionals and specialists
cl-0804,comp-08,4,"Recognizes and responds to underlying attitudes, cultural norms, and personality patterns. Frames ideas to avoid triggering defensive reactions. Manages their own frustration purposefully.",Senior professionals and managers
cl-0805,comp-08,5,"Makes their case tactfully with senior stakeholders. Knows when to hold firm and when to flex. Accurately reads unspoken thoughts and feelings and acts on that understanding.",Directors and executives
cl-0901,comp-09,1,"Confirms understanding of others' communication. Maintains open, consistent dialogue. Builds on successful initiatives to gain support. Adapts arguments to what others care about.",Entry-level and support roles
cl-0902,comp-09,2,"Uses concrete examples to make points. Incorporates others' main concerns into their communication. Reads the room and adjusts approach to land messages effectively.",Individual contributors with some experience
cl-0903,comp-09,3,"Makes compelling arguments for their conclusions. Understands complex underlying needs and emotions and adjusts communication accordingly.",Mid-level professionals and specialists
cl-0904,comp-09,4,"Communicates complex issues credibly to diverse audiences. Scans for key information to shape communication strategy. Uses situations strategically to maximize favorable outcomes.",Senior professionals and managers
cl-0905,comp-09,5,"Handles high-exposure strategic communication for the organization. Fields difficult questions from senior stakeholders, officials, and media. Builds coalitions and behind-the-scenes support for ideas.",Directors and executives
cl-1001,comp-10,1,"Identifies the main points at stake and engages in negotiation. Listens to different viewpoints and promotes mutual understanding.",Entry-level and support roles
cl-1002,comp-10,2,"Identifies key negotiating points and engages constructively. Listens to differing perspectives and works toward common ground.",Individual contributors with some experience
cl-1003,comp-10,3,"Identifies what the other party minimally needs versus ideally wants. Negotiates based on firsthand information rather than assumptions or hearsay.",Mid-level professionals and specialists
cl-1004,comp-10,4,"Prepares and runs negotiation meetings effectively. Negotiates constructively on difficult issues. Makes realistic compromises. Stays emotionally detached from conflicts that arise. Focuses on value-added outcomes.",Senior professionals and managers
cl-1005,comp-10,5,"Works toward win-win outcomes in high-stakes negotiations. Explores creative solutions to overcome opposition. Leads negotiations with significant organizational impact. Adapts negotiating style to context and counterpart.",Directors and executives
cl-1101,comp-11,1,"Understands the environment the organization operates in. Uses organizational structures, rules, and networks effectively. Respects organizational values and conduct standards.",Entry-level and support roles
cl-1102,comp-11,2,"Understands decision-making bodies and power relationships. Keeps up with organizational rules and structures. Recognizes what's possible given current constraints. Raises compliance or ethical issues appropriately.",Individual contributors with some experience
cl-1103,comp-11,3,"Anticipates outcomes based on understanding of how decisions actually get made. Helps others stay current on organizational dynamics.",Mid-level professionals and specialists
cl-1104,comp-11,4,"Knows when the moment is right for action based on organizational positioning. Manages compliance and ethical issues to protect the organization's reputation.",Senior professionals and managers
cl-1105,comp-11,5,"Uses knowledge of organizational politics to handle complex situations with discretion. Understands related organizations and uses that knowledge to influence and lead. Takes ownership of protecting organizational reputation.",Directors and executives
cl-1201,comp-12,1,"Takes advantage of learning opportunities to meet current job requirements. Sets clear expectations for their own development.",Entry-level and support roles
cl-1202,comp-12,2,"Shares knowledge with peers and advises less experienced colleagues. Self-assesses against role standards to identify learning needs. Transfers knowledge effectively. Shows initiative in professional growth.",Individual contributors with some experience
cl-1203,comp-12,3,"Helps others learn from experience. Recommends development resources. Continuously acquires new knowledge to improve performance. Gives constructive feedback.",Mid-level professionals and specialists
cl-1204,comp-12,4,"Builds teams with complementary skills who learn from each other. Plans learning targeted to developmental needs. Encourages people to take on stretch responsibilities. Gives precise, fact-based feedback with actionable suggestions.",Senior professionals and managers
cl-1205,comp-12,5,"Delegates with real authority and encourages people to develop their own approaches. Promotes cross-organizational learning. Develops transparency about staff potential. Models commitment to development. Encourages other leaders to invest in their people.",Directors and executives
cl-1301,comp-13,1,"Understands organizational goals and how their work connects to them. Can explain how their role contributes to the bigger picture.",Entry-level and support roles
cl-1302,comp-13,2,"Presents organizational priorities as they relate to their area. Explains why changes to policies or methods are necessary and gets others on board.",Individual contributors with some experience
cl-1303,comp-13,3,"Monitors developments that may affect organizational direction. Helps others understand strategic goals and how their work fits in.",Mid-level professionals and specialists
cl-1304,comp-13,4,"Creates shared understanding of organizational needs and direction to rally teams. Develops and implements projects aligned with strategic priorities.",Senior professionals and managers
cl-1305,comp-13,5,"Uses multiple channels to communicate organizational direction. Develops strategy for their unit that connects team success to organizational success. Ensures initiatives align with broader strategic priorities. Aligns people, processes, and structures with strategic needs.",Directors and executives
cl-1401,comp-14,1,"Actively maintains formal and informal contacts to facilitate work. Identifies contacts who can provide information or assistance. Builds trust by handling sensitive information appropriately.",Entry-level and support roles
cl-1402,comp-14,2,"Nurtures contacts by sharing information, best practices, and expertise proactively. Leverages past and current relationships for work-related support. Maintains confidentiality to build trust.",Individual contributors with some experience
cl-1403,comp-14,3,"Evaluates their network for effectiveness in achieving objectives. Identifies and creates opportunities for new connections that support strategic goals in their area.",Mid-level professionals and specialists
cl-1404,comp-14,4,"Continuously expands their network to meet strategic goals. Creates opportunities for partnerships that advance strategic objectives.",Senior professionals and managers
cl-1405,comp-14,5,"Manages relationships across key external organizations and entities to create long-term opportunities. Leverages established networks for strategic intelligence and positioning in important forums.",Directors and executives
cl-1501,comp-15,1,"Identifies new information relevant to key decision-makers and stakeholders.",Entry-level and support roles
cl-1502,comp-15,2,"Surfaces new data that supports others' understanding and decisions.",Individual contributors with some experience
cl-1503,comp-15,3,"Understands how their work impacts organizational strategy and vice versa. Identifies implications of their analysis.",Mid-level professionals and specialists
cl-1504,comp-15,4,"Considers emerging opportunities and risks when recommending new directions. Maintains strategic perspective while attending to crucial details.",Senior professionals and managers
cl-1505,comp-15,5,"Understands the organization's position in the larger contextâ€”strengths, weaknesses, opportunities, threats, and competitive differentiators. Keeps the big picture in view while setting priorities and direction.",Directors and executives
